ITEM,ATLET,BOXER,BOYUNLUK,BRA,CORAP,ESOFMAN,PANTOLON,POLAR,POLO_TISORT,SORT,STRES_TOPU,SWEATSHIRT,TAYT,TISORT,YELEK
VOLUMES_OF_ITEM,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1
PRODUCTION_COST,45,30,25,70,10,155,105,75,80,65,5,140,75,40,280
STORE,AQUA_FLORYA_MAGAZA,B.DUZU_SPORTIVE_OUTLET_MAGAZA,BAYRAMPASA_FORUM_MAGAZA,BEYLIKDUZU_REGULE_MAGAZA,HILLTOWN_MAGAZA,ISFANBUL_MAGAZA,MALL_OF_MAGAZA,OZDILEK_MAGAZA
CAPACITY_OF_STORE,2330,6480,1300,5300,1530,1960,1940,1350
TRANSPORTATION_COST_FOR_STORE,171.47,170.26,144.65,170.26,57.61,118.18,138.94,106.77
CAPACITY_OF_TRANSPORTATION_VEHICLE,9000
DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
INTEREST_RATE,0.14
